Age,Embarked,Fare,PassengerId,Pclass,Sex,Survived,Title,Deck,HasFamily,FamilySize,FarePerPerson
22.0,Q,7.75,48,3,0,1.0,Miss,?,False,0,0.0
26.0,C,21.6792,49,3,1,0.0,Mr,?,True,2,10.8396
18.0,S,17.8,50,3,0,0.0,Mrs,?,True,1,17.8
7.0,S,39.6875,51,3,1,0.0,Master,?,True,5,7.9375
21.0,S,7.8,52,3,1,0.0,Mr,?,False,0,0.0
49.0,C,76.7292,53,1,0,1.0,Mrs,D,True,1,76.7292
29.0,S,26.0,54,2,0,1.0,Mrs,?,True,1,26.0
65.0,C,61.9792,55,1,1,0.0,Mr,B,True,1,61.9792
42.0,S,35.5,56,1,1,1.0,Mr,C,False,0,0.0
21.0,S,10.5,57,2,0,1.0,Miss,?,False,0,0.0
28.5,C,7.2292,58,3,1,0.0,Mr,?,False,0,0.0
5.0,S,27.75,59,2,0,1.0,Miss,?,True,3,9.25
11.0,S,46.9,60,3,1,0.0,Master,?,True,7,6.7
22.0,C,7.2292,61,3,1,0.0,Mr,?,False,0,0.0
38.0,,80.0,62,1,0,1.0,Miss,B,False,0,0.0
45.0,S,83.475,63,1,1,0.0,Mr,C,True,1,83.475
4.0,S,27.9,64,3,1,0.0,Master,?,True,5,5.58
42.0,C,27.7208,65,1,1,0.0,Mr,?,False,0,0.0
6.0,C,15.2458,66,3,1,1.0,Master,?,True,2,7.6229
29.0,S,10.5,67,2,0,1.0,Mrs,F,False,0,0.0
19.0,S,8.1583,68,3,1,0.0,Mr,?,False,0,0.0
17.0,S,7.925,69,3,0,1.0,Miss,?,True,6,1.3208333333333333
26.0,S,8.6625,70,3,1,0.0,Mr,?,True,2,4.33125
32.0,S,10.5,71,2,1,0.0,Mr,?,False,0,0.0
16.0,S,46.9,72,3,0,0.0,Miss,?,True,7,6.7
21.0,S,73.5,73,2,1,0.0,Mr,?,False,0,0.0
26.0,C,14.4542,74,3,1,0.0,Mr,?,True,1,14.4542
32.0,S,56.4958,75,3,1,1.0,Mr,?,False,0,0.0
25.0,S,7.65,76,3,1,0.0,Mr,F,False,0,0.0
26.0,S,7.8958,77,3,1,0.0,Mr,?,False,0,0.0
26.0,S,8.05,78,3,1,0.0,Mr,?,False,0,0.0
0.83,S,29.0,79,2,1,1.0,Master,?,True,2,14.5
30.0,S,12.475,80,3,0,1.0,Miss,?,False,0,0.0
22.0,S,9.0,81,3,1,0.0,Mr,?,False,0,0.0
29.0,S,9.5,82,3,1,1.0,Mr,?,False,0,0.0
22.0,Q,7.7875,83,3,0,1.0,Miss,?,False,0,0.0
28.0,S,47.1,84,1,1,0.0,Mr,?,False,0,0.0
17.0,S,10.5,85,2,0,1.0,Miss,?,False,0,0.0
33.0,S,15.85,86,3,0,1.0,Mrs,?,True,3,5.283333333333333
16.0,S,34.375,87,3,1,0.0,Mr,?,True,4,8.59375
26.0,S,8.05,88,3,1,0.0,Mr,?,False,0,0.0
23.0,S,263.0,89,1,0,1.0,Miss,C,True,5,52.6
24.0,S,8.05,90,3,1,0.0,Mr,?,False,0,0.0
29.0,S,8.05,91,3,1,0.0,Mr,?,False,0,0.0
20.0,S,7.8542,92,3,1,0.0,Mr,?,False,0,0.0
46.0,S,61.175,93,1,1,0.0,Mr,E,True,1,61.175
26.0,S,20.575,94,3,1,0.0,Mr,?,True,3,6.858333333333333
59.0,S,7.25,95,3,1,0.0,Mr,?,False,0,0.0
26.0,S,8.05,96,3,1,0.0,Mr,?,False,0,0.0
71.0,C,34.6542,97,1,1,0.0,Mr,A,False,0,0.0
23.0,C,63.3583,98,1,1,1.0,Mr,D,True,1,63.3583
34.0,S,23.0,99,2,0,1.0,Mrs,?,True,1,23.0
34.0,S,26.0,100,2,1,0.0,Mr,?,True,1,26.0
28.0,S,7.8958,101,3,0,0.0,Miss,?,False,0,0.0
26.0,S,7.8958,102,3,1,0.0,Mr,?,False,0,0.0
21.0,S,77.2875,103,1,1,0.0,Mr,D,True,1,77.2875
33.0,S,8.6542,104,3,1,0.0,Mr,?,False,0,0.0
37.0,S,7.925,105,3,1,0.0,Mr,?,True,2,3.9625
28.0,S,7.8958,106,3,1,0.0,Mr,?,False,0,0.0
21.0,S,7.65,107,3,0,1.0,Miss,?,False,0,0.0
26.0,S,7.775,108,3,1,1.0,Mr,?,False,0,0.0
38.0,S,7.8958,109,3,1,0.0,Mr,?,False,0,0.0
9.0,Q,24.15,110,3,0,1.0,Miss,?,True,1,24.15
47.0,S,52.0,111,1,1,0.0,Mr,C,False,0,0.0
14.5,C,14.4542,112,3,0,0.0,Miss,?,True,1,14.4542
22.0,S,8.05,113,3,1,0.0,Mr,?,False,0,0.0
20.0,S,9.825,114,3,0,0.0,Miss,?,True,1,9.825
17.0,C,14.4583,115,3,0,0.0,Miss,?,False,0,0.0
21.0,S,7.925,116,3,1,0.0,Mr,?,False,0,0.0
70.5,Q,7.75,117,3,1,0.0,Mr,?,False,0,0.0
29.0,S,21.0,118,2,1,0.0,Mr,?,True,1,21.0
24.0,C,247.5208,119,1,1,0.0,Mr,B,True,1,247.5208
2.0,S,31.275,120,3,0,0.0,Miss,?,True,6,5.2124999999999995
21.0,S,73.5,121,2,1,0.0,Mr,?,True,2,36.75
26.0,S,8.05,122,3,1,0.0,Mr,?,False,0,0.0
32.5,C,30.0708,123,2,1,0.0,Mr,?,True,1,30.0708
32.5,S,13.0,124,2,0,1.0,Miss,E,False,0,0.0
54.0,S,77.2875,125,1,1,0.0,Mr,D,True,1,77.2875
12.0,C,11.2417,126,3,1,1.0,Master,?,True,1,11.2417
26.0,Q,7.75,127,3,1,0.0,Mr,?,False,0,0.0
24.0,S,7.1417,128,3,1,1.0,Mr,?,False,0,0.0
9.0,C,22.3583,129,3,0,1.0,Miss,F,True,2,11.17915
45.0,S,6.975,130,3,1,0.0,Mr,?,False,0,0.0
33.0,C,7.8958,131,3,1,0.0,Mr,?,False,0,0.0
20.0,S,7.05,132,3,1,0.0,Mr,?,False,0,0.0
47.0,S,14.5,133,3,0,0.0,Mrs,?,True,1,14.5
29.0,S,26.0,134,2,0,1.0,Mrs,?,True,1,26.0
25.0,S,13.0,135,2,1,0.0,Mr,?,False,0,0.0
23.0,C,15.0458,136,2,1,0.0,Mr,?,False,0,0.0
19.0,S,26.2833,137,1,0,1.0,Miss,D,True,2,13.14165
37.0,S,53.1,138,1,1,0.0,Mr,C,True,1,53.1
16.0,S,9.2167,139,3,1,0.0,Mr,?,False,0,0.0
24.0,C,79.2,140,1,1,0.0,Mr,B,False,0,0.0
30.5,C,15.2458,141,3,0,0.0,Mrs,?,True,2,7.6229
22.0,S,7.75,142,3,0,1.0,Miss,?,False,0,0.0
24.0,S,15.85,143,3,0,1.0,Mrs,?,True,1,15.85
19.0,Q,6.75,144,3,1,0.0,Mr,?,False,0,0.0
18.0,S,11.5,145,2,1,0.0,Mr,?,False,0,0.0
19.0,S,36.75,146,2,1,0.0,Mr,?,True,2,18.375
27.0,S,7.7958,147,3,1,1.0,Mr,?,False,0,0.0
9.0,S,34.375,148,3,0,0.0,Miss,?,True,4,8.59375
36.5,S,26.0,149,2,1,0.0,Mr,F,True,2,13.0
42.0,S,13.0,150,2,1,0.0,other,?,False,0,0.0
51.0,S,12.525,151,2,1,0.0,other,?,False,0,0.0
22.0,S,66.6,152,1,0,1.0,Mrs,C,True,1,66.6
55.5,S,8.05,153,3,1,0.0,Mr,?,False,0,0.0
40.5,S,14.5,154,3,1,0.0,Mr,?,True,2,7.25
26.0,S,7.3125,155,3,1,0.0,Mr,?,False,0,0.0
51.0,C,61.3792,156,1,1,0.0,Mr,?,True,1,61.3792
16.0,Q,7.7333,157,3,0,1.0,Miss,?,False,0,0.0
30.0,S,8.05,158,3,1,0.0,Mr,?,False,0,0.0
26.0,S,8.6625,159,3,1,0.0,Mr,?,False,0,0.0
6.0,S,69.55,160,3,1,0.0,Master,?,True,10,6.955
44.0,S,16.1,161,3,1,0.0,Mr,?,True,1,16.1
40.0,S,15.75,162,2,0,1.0,Mrs,?,False,0,0.0
26.0,S,7.775,163,3,1,0.0,Mr,?,False,0,0.0
17.0,S,8.6625,164,3,1,0.0,Mr,?,False,0,0.0
1.0,S,39.6875,165,3,1,0.0,Master,?,True,5,7.9375
9.0,S,20.525,166,3,1,1.0,Master,?,True,2,10.2625
44.5,S,55.0,167,1,0,1.0,Mrs,E,True,1,55.0
45.0,S,27.9,168,3,0,0.0,Mrs,?,True,5,5.58
42.0,S,25.925,169,1,1,0.0,Mr,?,False,0,0.0
28.0,S,56.4958,170,3,1,0.0,Mr,?,False,0,0.0
61.0,S,33.5,171,1,1,0.0,Mr,B,False,0,0.0
4.0,Q,29.125,172,3,1,0.0,Master,?,True,5,5.825
1.0,S,11.1333,173,3,0,1.0,Miss,?,True,2,5.56665
21.0,S,7.925,174,3,1,0.0,Mr,?,False,0,0.0
56.0,C,30.6958,175,1,1,0.0,Mr,A,False,0,0.0
18.0,S,7.8542,176,3,1,0.0,Mr,?,True,2,3.9271
6.0,S,25.4667,177,3,1,0.0,Master,?,True,4,6.366675
50.0,C,28.7125,178,1,0,0.0,Miss,C,False,0,0.0
30.0,S,13.0,179,2,1,0.0,Mr,?,False,0,0.0
36.0,S,0.0,180,3,1,0.0,Mr,?,False,0,0.0
9.0,S,69.55,181,3,0,0.0,Miss,?,True,10,6.955
29.0,C,15.05,182,2,1,0.0,Mr,?,False,0,0.0
9.0,S,31.3875,183,3,1,0.0,Master,?,True,6,5.23125
1.0,S,39.0,184,2,1,1.0,Master,F,True,3,13.0
4.0,S,22.025,185,3,0,1.0,Miss,?,True,2,11.0125
42.0,S,50.0,186,1,1,0.0,Mr,A,False,0,0.0
30.5,Q,15.5,187,3,0,1.0,Mrs,?,True,1,15.5
45.0,S,26.55,188,1,1,1.0,Mr,?,False,0,0.0
40.0,Q,15.5,189,3,1,0.0,Mr,?,True,2,7.75
36.0,S,7.8958,190,3,1,0.0,Mr,?,False,0,0.0
32.0,S,13.0,191,2,0,1.0,Mrs,?,False,0,0.0
19.0,S,13.0,192,2,1,0.0,Mr,?,False,0,0.0
19.0,S,7.8542,193,3,0,1.0,Miss,?,True,1,7.8542
3.0,S,26.0,194,2,1,1.0,Master,F,True,2,13.0
44.0,C,27.7208,195,1,0,1.0,Mrs,B,False,0,0.0
58.0,C,146.5208,196,1,0,1.0,Miss,B,False,0,0.0
26.0,Q,7.75,197,3,1,0.0,Mr,?,False,0,0.0
42.0,S,8.4042,198,3,1,0.0,Mr,?,True,1,8.4042
22.0,Q,7.75,199,3,0,1.0,Miss,?,False,0,0.0
24.0,S,13.0,200,2,0,0.0,Miss,?,False,0,0.0
28.0,S,9.5,201,3,1,0.0,Mr,?,False,0,0.0
26.0,S,69.55,202,3,1,0.0,Mr,?,True,10,6.955
34.0,S,6.4958,203,3,1,0.0,Mr,?,False,0,0.0
45.5,C,7.225,204,3,1,0.0,Mr,?,False,0,0.0
18.0,S,8.05,205,3,1,1.0,Mr,?,False,0,0.0
2.0,S,10.4625,206,3,0,0.0,Miss,G,True,1,10.4625
32.0,S,15.85,207,3,1,0.0,Mr,?,True,1,15.85
26.0,C,18.7875,208,3,1,1.0,Mr,?,False,0,0.0
16.0,Q,7.75,209,3,0,1.0,Miss,?,False,0,0.0
40.0,C,31.0,210,1,1,1.0,Mr,A,False,0,0.0
24.0,S,7.05,211,3,1,0.0,Mr,?,False,0,0.0
35.0,S,21.0,212,2,0,1.0,Miss,?,False,0,0.0
22.0,S,7.25,213,3,1,0.0,Mr,?,False,0,0.0
30.0,S,13.0,214,2,1,0.0,Mr,?,False,0,0.0
26.0,Q,7.75,215,3,1,0.0,Mr,?,True,1,7.75
31.0,C,113.275,216,1,0,1.0,Miss,D,True,1,113.275
27.0,S,7.925,217,3,0,1.0,Miss,?,False,0,0.0
42.0,S,27.0,218,2,1,0.0,Mr,?,True,1,27.0
32.0,C,76.2917,219,1,0,1.0,Miss,D,False,0,0.0
30.0,S,10.5,220,2,1,0.0,Mr,?,False,0,0.0
16.0,S,8.05,221,3,1,1.0,Mr,?,False,0,0.0
27.0,S,13.0,222,2,1,0.0,Mr,?,False,0,0.0
51.0,S,8.05,223,3,1,0.0,Mr,?,False,0,0.0
26.0,S,7.8958,224,3,1,0.0,Mr,?,False,0,0.0
38.0,S,90.0,225,1,1,1.0,Mr,C,True,1,90.0
22.0,S,9.35,226,3,1,0.0,Mr,?,False,0,0.0
19.0,S,10.5,227,2,1,1.0,Mr,?,False,0,0.0
20.5,S,7.25,228,3,1,0.0,Mr,?,False,0,0.0
18.0,S,13.0,229,2,1,0.0,Mr,?,False,0,0.0
9.0,S,25.4667,230,3,0,0.0,Miss,?,True,4,6.366675
35.0,S,83.475,231,1,0,1.0,Mrs,C,True,1,83.475
29.0,S,7.775,232,3,1,0.0,Mr,?,False,0,0.0
59.0,S,13.5,233,2,1,0.0,Mr,?,False,0,0.0
5.0,S,31.3875,234,3,0,1.0,Miss,?,True,6,5.23125
24.0,S,10.5,235,2,1,0.0,Mr,?,False,0,0.0
22.0,S,7.55,236,3,0,0.0,Miss,?,False,0,0.0
44.0,S,26.0,237,2,1,0.0,Mr,?,True,1,26.0
8.0,S,26.25,238,2,0,1.0,Miss,?,True,2,13.125
19.0,S,10.5,239,2,1,0.0,Mr,?,False,0,0.0
33.0,S,12.275,240,2,1,0.0,Mr,?,False,0,0.0
9.0,C,14.4542,241,3,0,0.0,Miss,?,True,1,14.4542
9.0,Q,15.5,242,3,0,1.0,Miss,?,True,1,15.5
29.0,S,10.5,243,2,1,0.0,Mr,?,False,0,0.0
22.0,S,7.125,244,3,1,0.0,Mr,?,False,0,0.0
30.0,C,7.225,245,3,1,0.0,Mr,?,False,0,0.0
44.0,Q,90.0,246,1,1,0.0,other,C,True,2,45.0
25.0,S,7.775,247,3,0,0.0,Miss,?,False,0,0.0
24.0,S,14.5,248,2,0,1.0,Mrs,?,True,2,7.25
37.0,S,52.5542,249,1,1,1.0,Mr,D,True,2,26.2771
54.0,S,26.0,250,2,1,0.0,other,?,True,1,26.0
26.0,S,7.25,251,3,1,0.0,Mr,?,False,0,0.0
29.0,S,10.4625,252,3,0,0.0,Mrs,G,True,2,5.23125
62.0,S,26.55,253,1,1,0.0,Mr,C,False,0,0.0
30.0,S,16.1,254,3,1,0.0,Mr,?,True,1,16.1
41.0,S,20.2125,255,3,0,0.0,Mrs,?,True,2,10.10625
29.0,C,15.2458,256,3,0,1.0,Mrs,?,True,2,7.6229
55.0,C,79.2,257,1,0,1.0,Mrs,?,False,0,0.0
30.0,S,86.5,258,1,0,1.0,Miss,B,False,0,0.0
35.0,C,512.3292,259,1,0,1.0,Miss,?,False,0,0.0
50.0,S,26.0,260,2,0,1.0,Mrs,?,True,1,26.0
26.0,Q,7.75,261,3,1,0.0,Mr,?,False,0,0.0
3.0,S,31.3875,262,3,1,1.0,Master,?,True,6,5.23125
52.0,S,79.65,263,1,1,0.0,Mr,E,True,2,39.825
40.0,S,0.0,264,1,1,0.0,Mr,B,False,0,0.0
22.0,Q,7.75,265,3,0,0.0,Miss,?,False,0,0.0
36.0,S,10.5,266,2,1,0.0,Mr,?,False,0,0.0
16.0,S,39.6875,267,3,1,0.0,Mr,?,True,5,7.9375
25.0,S,7.775,268,3,1,1.0,Mr,?,True,1,7.775
58.0,S,153.4625,269,1,0,1.0,Mrs,C,True,1,153.4625
35.0,S,135.6333,270,1,0,1.0,Miss,C,False,0,0.0
42.0,S,31.0,271,1,1,0.0,Mr,?,False,0,0.0
25.0,S,0.0,272,3,1,1.0,Mr,?,False,0,0.0
41.0,S,19.5,273,2,0,1.0,Mrs,?,True,1,19.5
37.0,C,29.7,274,1,1,0.0,Mr,C,True,1,29.7
22.0,Q,7.75,275,3,0,1.0,Miss,?,False,0,0.0
63.0,S,77.9583,276,1,0,1.0,Miss,D,True,1,77.9583
45.0,S,7.75,277,3,0,0.0,Miss,?,False,0,0.0
29.0,S,0.0,278,2,1,0.0,Mr,?,False,0,0.0
7.0,Q,29.125,279,3,1,0.0,Master,?,True,5,5.825
35.0,S,20.25,280,3,0,1.0,Mrs,?,True,2,10.125
65.0,Q,7.75,281,3,1,0.0,Mr,?,False,0,0.0
28.0,S,7.8542,282,3,1,0.0,Mr,?,False,0,0.0
16.0,S,9.5,283,3,1,0.0,Mr,?,False,0,0.0
19.0,S,8.05,284,3,1,1.0,Mr,?,False,0,0.0
42.0,S,26.0,285,1,1,0.0,Mr,A,False,0,0.0
33.0,C,8.6625,286,3,1,0.0,Mr,?,False,0,0.0
30.0,S,9.5,287,3,1,1.0,Mr,?,False,0,0.0
22.0,S,7.8958,288,3,1,0.0,Mr,?,False,0,0.0
42.0,S,13.0,289,2,1,1.0,Mr,?,False,0,0.0
22.0,Q,7.75,290,3,0,1.0,Miss,?,False,0,0.0
26.0,S,78.85,291,1,0,1.0,Miss,?,False,0,0.0
19.0,C,91.0792,292,1,0,1.0,Mrs,B,True,1,91.0792
36.0,C,12.875,293,2,1,0.0,Mr,D,False,0,0.0
24.0,S,8.85,294,3,0,0.0,Miss,?,False,0,0.0
24.0,S,7.8958,295,3,1,0.0,Mr,?,False,0,0.0
42.0,C,27.7208,296,1,1,0.0,Mr,?,False,0,0.0
23.5,C,7.2292,297,3,1,0.0,Mr,?,False,0,0.0
2.0,S,151.55,298,1,0,0.0,Miss,C,True,3,50.51666666666667
42.0,S,30.5,299,1,1,1.0,Mr,C,False,0,0.0
50.0,C,247.5208,300,1,0,1.0,Mrs,B,True,1,247.5208
22.0,Q,7.75,301,3,0,1.0,Miss,?,False,0,0.0
26.0,Q,23.25,302,3,1,1.0,Mr,?,True,2,11.625
19.0,S,0.0,303,3,1,0.0,Mr,?,False,0,0.0
28.0,Q,12.35,304,2,0,1.0,Miss,E,False,0,0.0
26.0,S,8.05,305,3,1,0.0,Mr,?,False,0,0.0
0.92,S,151.55,306,1,1,1.0,Master,C,True,3,50.51666666666667
33.0,C,110.8833,307,1,0,1.0,Miss,?,False,0,0.0
17.0,C,108.9,308,1,0,1.0,Mrs,C,True,1,108.9
30.0,C,24.0,309,2,1,0.0,Mr,?,True,1,24.0
30.0,C,56.9292,310,1,0,1.0,Miss,E,False,0,0.0
24.0,C,83.1583,311,1,0,1.0,Miss,C,False,0,0.0
18.0,C,262.375,312,1,0,1.0,Miss,B,True,4,65.59375
26.0,S,26.0,313,2,0,0.0,Mrs,?,True,2,13.0
28.0,S,7.8958,314,3,1,0.0,Mr,?,False,0,0.0
43.0,S,26.25,315,2,1,0.0,Mr,?,True,2,13.125
26.0,S,7.8542,316,3,0,1.0,Miss,?,False,0,0.0
24.0,S,26.0,317,2,0,1.0,Mrs,?,True,1,26.0
54.0,S,14.0,318,2,1,0.0,other,?,False,0,0.0
31.0,S,164.8667,319,1,0,1.0,Miss,C,True,2,82.43335
40.0,C,134.5,320,1,0,1.0,Mrs,E,True,2,67.25
22.0,S,7.25,321,3,1,0.0,Mr,?,False,0,0.0
27.0,S,7.8958,322,3,1,0.0,Mr,?,False,0,0.0
30.0,Q,12.35,323,2,0,1.0,Miss,?,False,0,0.0
22.0,S,29.0,324,2,0,1.0,Mrs,?,True,2,14.5
26.0,S,69.55,325,3,1,0.0,Mr,?,True,10,6.955
36.0,C,135.6333,326,1,0,1.0,Miss,C,False,0,0.0
61.0,S,6.2375,327,3,1,0.0,Mr,?,False,0,0.0
36.0,S,13.0,328,2,0,1.0,Mrs,D,False,0,0.0
31.0,S,20.525,329,3,0,1.0,Mrs,?,True,2,10.2625
16.0,C,57.9792,330,1,0,1.0,Miss,B,True,1,57.9792
9.0,Q,23.25,331,3,0,1.0,Miss,?,True,2,11.625
45.5,S,28.5,332,1,1,0.0,Mr,C,False,0,0.0
38.0,S,153.4625,333,1,1,0.0,Mr,C,True,1,153.4625
16.0,S,18.0,334,3,1,0.0,Mr,?,True,2,9.0
44.5,S,133.65,335,1,0,1.0,Mrs,?,True,1,133.65
26.0,S,7.8958,336,3,1,0.0,Mr,?,False,0,0.0
29.0,S,66.6,337,1,1,0.0,Mr,C,True,1,66.6
41.0,C,134.5,338,1,0,1.0,Miss,E,False,0,0.0
45.0,S,8.05,339,3,1,1.0,Mr,?,False,0,0.0
45.0,S,35.5,340,1,1,0.0,Mr,T,False,0,0.0
2.0,S,26.0,341,2,1,1.0,Master,F,True,2,13.0
24.0,S,263.0,342,1,0,1.0,Miss,C,True,5,52.6
28.0,S,13.0,343,2,1,0.0,Mr,?,False,0,0.0
25.0,S,13.0,344,2,1,0.0,Mr,?,False,0,0.0
36.0,S,13.0,345,2,1,0.0,Mr,?,False,0,0.0
24.0,S,13.0,346,2,0,1.0,Miss,F,False,0,0.0
40.0,S,13.0,347,2,0,1.0,Miss,?,False,0,0.0
30.5,S,16.1,348,3,0,1.0,Mrs,?,True,1,16.1
3.0,S,15.9,349,3,1,1.0,Master,?,True,2,7.95
42.0,S,8.6625,350,3,1,0.0,Mr,?,False,0,0.0
23.0,S,9.225,351,3,1,0.0,Mr,?,False,0,0.0
42.0,S,35.0,352,1,1,0.0,Mr,C,False,0,0.0
15.0,C,7.2292,353,3,1,0.0,Mr,?,True,2,3.6146
25.0,S,17.8,354,3,1,0.0,Mr,?,True,1,17.8
26.0,C,7.225,355,3,1,0.0,Mr,?,False,0,0.0
28.0,S,9.5,356,3,1,0.0,Mr,?,False,0,0.0
22.0,S,55.0,357,1,0,1.0,Miss,E,True,1,55.0
38.0,S,13.0,358,2,0,0.0,Miss,?,False,0,0.0
22.0,Q,7.8792,359,3,0,1.0,Miss,?,False,0,0.0
22.0,Q,7.8792,360,3,0,1.0,Miss,?,False,0,0.0
40.0,S,27.9,361,3,1,0.0,Mr,?,True,5,5.58
29.0,C,27.7208,362,2,1,0.0,Mr,?,True,1,27.7208
45.0,C,14.4542,363,3,0,0.0,Mrs,?,True,1,14.4542
35.0,S,7.05,364,3,1,0.0,Mr,?,False,0,0.0
26.0,Q,15.5,365,3,1,0.0,Mr,?,True,1,15.5
30.0,S,7.25,366,3,1,0.0,Mr,?,False,0,0.0
60.0,C,75.25,367,1,0,1.0,Mrs,D,True,1,75.25
38.0,C,7.2292,368,3,0,1.0,Mrs,?,False,0,0.0
22.0,Q,7.75,369,3,0,1.0,Miss,?,False,0,0.0
24.0,C,69.3,370,1,0,1.0,other,B,False,0,0.0
25.0,C,55.4417,371,1,1,1.0,Mr,E,True,1,55.4417
18.0,S,6.4958,372,3,1,0.0,Mr,?,True,1,6.4958
19.0,S,8.05,373,3,1,0.0,Mr,?,False,0,0.0
22.0,C,135.6333,374,1,1,0.0,Mr,?,False,0,0.0
3.0,S,21.075,375,3,0,0.0,Miss,?,True,4,5.26875
44.5,C,82.1708,376,1,0,1.0,Mrs,?,True,1,82.1708
22.0,S,7.25,377,3,0,1.0,Miss,?,False,0,0.0
27.0,C,211.5,378,1,1,0.0,Mr,C,True,2,105.75
20.0,C,4.0125,379,3,1,0.0,Mr,?,False,0,0.0
19.0,S,7.775,380,3,1,0.0,Mr,?,False,0,0.0
42.0,C,227.525,381,1,0,1.0,Miss,?,False,0,0.0
1.0,C,15.7417,382,3,0,1.0,Miss,?,True,2,7.87085
32.0,S,7.925,383,3,1,0.0,Mr,?,False,0,0.0
35.0,S,52.0,384,1,0,1.0,Mrs,?,True,1,52.0
26.0,S,7.8958,385,3,1,0.0,Mr,?,False,0,0.0
18.0,S,73.5,386,2,1,0.0,Mr,?,False,0,0.0
1.0,S,46.9,387,3,1,0.0,Master,?,True,7,6.7
36.0,S,13.0,388,2,0,1.0,Miss,?,False,0,0.0
26.0,Q,7.7292,389,3,1,0.0,Mr,?,False,0,0.0
17.0,C,12.0,390,2,0,1.0,Miss,?,False,0,0.0
36.0,S,120.0,391,1,1,1.0,Mr,B,True,3,40.0
21.0,S,7.7958,392,3,1,1.0,Mr,?,False,0,0.0
28.0,S,7.925,393,3,1,0.0,Mr,?,True,2,3.9625
23.0,C,113.275,394,1,0,1.0,Miss,D,True,1,113.275
24.0,S,16.7,395,3,0,1.0,Mrs,G,True,2,8.35
22.0,S,7.7958,396,3,1,0.0,Mr,?,False,0,0.0
31.0,S,7.8542,397,3,0,0.0,Miss,?,False,0,0.0
46.0,S,26.0,398,2,1,0.0,Mr,?,False,0,0.0
23.0,S,10.5,399,2,1,0.0,other,?,False,0,0.0
